ID	Question (English)	Question (Hindi)	Domain	Answer (English)	Answer String(English)	Answer (Hindi)	Answer String(Hindi)	Availability in	Answer Type
1866	What is the meaning of 'sanch'?	'संत' का क्या अर्थ है?	Tourism	‘to measure’	Sanchi gets its name from the Pali word ‘sanch’ which means ‘to measure’.			English	Factoid
1869	In which year Sanchi was rediscovered?	किस वर्ष में सांची का पता चला था?	Tourism	1818	British General Mark Taylor rediscovered Sanchi in 1818.			English	Factoid
1868	Who rediscovered Sanchi?	सांची को किसने पुनः खोज लिया?	Tourism	British General Mark Taylor	British General Mark Taylor rediscovered Sanchi in 1818.			English	Factoid
1802	How many ghat has Pushkar Lake?	पुष्कर झील कितने घाट है?	Tourism	52 ghats	Pushkar is also famous for the Pushkar Lake, which has 52 ghats.			English	Factoid
1912	When did Bar Rao founded Barmer?	बार राव ने बारमेर की स्थापना कब की थी?	Tourism	13th century	Barmer gets its name from its ruler Bahada Rao Parmar (Panwar) or Bar Rao Parmar who is said to have founded the town in the 13th century.	13 वीं शताब्दी	इस शहर को 13 वीं शताब्दी ईस्वी में बहाडा  राव जिन्हें बार राव के नाम  से भी जाना  जाता है  द्वारा स्थापित किया गया था।	Both	Factoid
1256	Who established the four cardinal institutions?	कौन चार प्रमुख संस्थानों की स्थापना की?	Tourism	Adi Shankaracharya.	Puri is also the site of the Govardhana matha, one of the four cardinal institutions (others are at Sringeri, Dwarka and Jyotirmath) established by Adi Shankaracharya.			English	Factoid
1544	When did the Chapel of our Lady constructed?	हमारे लेडी का चैपल कब बनाया गया?	Tourism			17वीं शताब्दी	चैपल ऑफ आवर लेडी ऑफ रोजरी दमन के पुराने धार्मिक स्थलों में से एक है। इसका निर्माण पुर्तगालियों ने 17वीं शताब्दी में करवाया था।	Hindi	Factoid
1525	When is Rohru festival celebrated?	रोहरु त्योहार कब मनाया जाता है?	Tourism	April	The Rohru festival is an annual event held with huge fervour in the month of April. 			English	Factoid
1943	What is the literal meaning of the word 'Kangla'?	'कांगला' शब्द का शाब्दिक अर्थ क्या है?	Tourism			शुष्क भूमि	कांगला' एक मेइती शब्द है, जिसका अर्थ है 'शुष्क भूमि और इम्फाल नदी के तट पर स्थित है।	Hindi	Factoid
1940	From which game of Manipur the modern game Polo derives ?	मणिपुर के किस खेल से आधुनिक खेल पोलो निकला है?	Tourism	Manipur’s Sagol Kangjei	The modern game of polo is derived from Manipur’s Sagol Kangjei and it is not surprising that the Imphal Polo Ground is the oldest polo ground in the world.			English	Factoid
